Running with Na=267, Nb=1333, kba=.11
Running with Na=267, Nb=1333, kba=.12
Running with Na=267, Nb=1333, kba=.13
Running with Na=267, Nb=1333, kba=.14
Running with Na=267, Nb=1333, kba=.15
Running with Na=267, Nb=1333, kba=.16
Running with Na=267, Nb=1333, kba=.17
Running with Na=370, Nb=1230, kba=.11
Running with Na=370, Nb=1230, kba=.12
Running with Na=370, Nb=1230, kba=.13
Running with Na=370, Nb=1230, kba=.14
Running with Na=370, Nb=1230, kba=.15
Running with Na=370, Nb=1230, kba=.16
Running with Na=370, Nb=1230, kba=.17
Running with Na=458, Nb=1142, kba=.11
Running with Na=458, Nb=1142, kba=.12
Running with Na=458, Nb=1142, kba=.13
Running with Na=458, Nb=1142, kba=.14
Running with Na=458, Nb=1142, kba=.15
Running with Na=458, Nb=1142, kba=.16
Running with Na=458, Nb=1142, kba=.17
Running with Na=534, Nb=1066, kba=.11
Running with Na=534, Nb=1066, kba=.12
Running with Na=534, Nb=1066, kba=.13
Running with Na=534, Nb=1066, kba=.14
Running with Na=534, Nb=1066, kba=.15
Running with Na=534, Nb=1066, kba=.16
Running with Na=534, Nb=1066, kba=.17
Running with Na=600, Nb=1000, kba=.11
Running with Na=600, Nb=1000, kba=.12
Running with Na=600, Nb=1000, kba=.13
Running with Na=600, Nb=1000, kba=.14
Running with Na=600, Nb=1000, kba=.15
Running with Na=600, Nb=1000, kba=.16
Running with Na=600, Nb=1000, kba=.17
Running with Na=659, Nb=941, kba=.11
Running with Na=659, Nb=941, kba=.12
Running with Na=659, Nb=941, kba=.13
Running with Na=659, Nb=941, kba=.14
Running with Na=659, Nb=941, kba=.15
Running with Na=659, Nb=941, kba=.16
Running with Na=659, Nb=941, kba=.17
Running with Na=712, Nb=888, kba=.11
Running with Na=712, Nb=888, kba=.12
Running with Na=712, Nb=888, kba=.13
Running with Na=712, Nb=888, kba=.14
Running with Na=712, Nb=888, kba=.15
Running with Na=712, Nb=888, kba=.16
Running with Na=712, Nb=888, kba=.17
Running with Na=758, Nb=842, kba=.11
Running with Na=758, Nb=842, kba=.12
Running with Na=758, Nb=842, kba=.13
Running with Na=758, Nb=842, kba=.14
Running with Na=758, Nb=842, kba=.15
Running with Na=758, Nb=842, kba=.16
Running with Na=758, Nb=842, kba=.17
Running with Na=800, Nb=800, kba=.11
Running with Na=800, Nb=800, kba=.12
Running with Na=800, Nb=800, kba=.13
Running with Na=800, Nb=800, kba=.14
Running with Na=800, Nb=800, kba=.15
Running with Na=800, Nb=800, kba=.16
Running with Na=800, Nb=800, kba=.17
Running with Na=839, Nb=761, kba=.11
Running with Na=839, Nb=761, kba=.12
Running with Na=839, Nb=761, kba=.13
Running with Na=839, Nb=761, kba=.14
Running with Na=839, Nb=761, kba=.15
Running with Na=839, Nb=761, kba=.16
Running with Na=839, Nb=761, kba=.17
Running with Na=873, Nb=727, kba=.11
Running with Na=873, Nb=727, kba=.12
Running with Na=873, Nb=727, kba=.13
Running with Na=873, Nb=727, kba=.14
Running with Na=873, Nb=727, kba=.15
Running with Na=873, Nb=727, kba=.16
Running with Na=873, Nb=727, kba=.17
Running with Na=905, Nb=695, kba=.11
Running with Na=905, Nb=695, kba=.12
Running with Na=905, Nb=695, kba=.13
Running with Na=905, Nb=695, kba=.14
Running with Na=905, Nb=695, kba=.15
Running with Na=905, Nb=695, kba=.16
Running with Na=905, Nb=695, kba=.17
Running with Na=934, Nb=666, kba=.11
Running with Na=934, Nb=666, kba=.12
Running with Na=934, Nb=666, kba=.13
Running with Na=934, Nb=666, kba=.14
Running with Na=934, Nb=666, kba=.15
Running with Na=934, Nb=666, kba=.16
Running with Na=934, Nb=666, kba=.17
Running with Na=960, Nb=640, kba=.11
Running with Na=960, Nb=640, kba=.12
Running with Na=960, Nb=640, kba=.13
Running with Na=960, Nb=640, kba=.14
Running with Na=960, Nb=640, kba=.15
Running with Na=960, Nb=640, kba=.16
Running with Na=960, Nb=640, kba=.17
Running with Na=985, Nb=615, kba=.11
Running with Na=985, Nb=615, kba=.12
Running with Na=985, Nb=615, kba=.13
Running with Na=985, Nb=615, kba=.14
Running with Na=985, Nb=615, kba=.15
Running with Na=985, Nb=615, kba=.16
Running with Na=985, Nb=615, kba=.17
Running with Na=1008, Nb=592, kba=.11
Running with Na=1008, Nb=592, kba=.12
Running with Na=1008, Nb=592, kba=.13
Running with Na=1008, Nb=592, kba=.14
Running with Na=1008, Nb=592, kba=.15
Running with Na=1008, Nb=592, kba=.16
Running with Na=1008, Nb=592, kba=.17
Running with Na=1029, Nb=571, kba=.11
Running with Na=1029, Nb=571, kba=.12
Running with Na=1029, Nb=571, kba=.13
Running with Na=1029, Nb=571, kba=.14
Running with Na=1029, Nb=571, kba=.15
Running with Na=1029, Nb=571, kba=.16
Running with Na=1029, Nb=571, kba=.17
